 KZZ NOW (CGS)   693694499.03032577     
 KZZ NOW (CGS)   662471636.72381151     
 KZZ NOW (CGS)   655193445.34735954     
 KZZ NOW (CGS)   640726665.72426450     
 KZZ NOW (CGS)   617833934.55490994     
 KZZ NOW (CGS)   569986787.47266698     
 KZZ NOW (CGS)   474277619.84103972     
 KZZ NOW (CGS)   569329952.42479193     
 KZZ NOW (CGS)   611993970.25146973     
 KZZ NOW (CGS)   475497865.66316140     
 KZZ NOW (CGS)   323009141.94535953     
 KZZ NOW (CGS)   200737706.51684326     
 KZZ NOW (CGS)   122321249.29619111     
 KZZ NOW (CGS)   76095669.059289530     
 KZZ NOW (CGS)   47478780.126529463     
 KZZ NOW (CGS)   30233062.094673771     
 KZZ NOW (CGS)   29521797.332723707     
 KZZ NOW (CGS)   28958745.914554805     
 KZZ NOW (CGS)   28516784.832022440     
 KZZ NOW (CGS)   26196008.995653708     
 KZZ NOW (CGS)   24785653.363354892     
 KZZ NOW (CGS)   23544573.215974100     
 KZZ NOW (CGS)   21661933.255160097     
 KZZ NOW (CGS)   19600833.717703518     
 KZZ NOW (CGS)   17938440.634693276     
 KZZ NOW (CGS)   16670793.588795468     
 KZZ NOW (CGS)   15457522.977737926     
 KZZ NOW (CGS)   14421156.158298381     
 KZZ NOW (CGS)   13453736.522113940     
 KZZ NOW (CGS)   12524446.710765030     
 KZZ NOW (CGS)   11727274.864613090     
 KZZ NOW (CGS)   11021918.042373655     
 KZZ NOW (CGS)   10387824.544336559     
 KZZ NOW (CGS)   9739552.6794945430     
 KZZ NOW (CGS)   9228139.3730151281     
 KZZ NOW (CGS)   8878983.4128616992     
 KZZ NOW (CGS)   8449135.5237188749     
 KZZ NOW (CGS)   8107841.8648078442     
 KZZ NOW (CGS)   7791528.6305510178     
 KZZ NOW (CGS)   7533683.8011629246     
 KZZ NOW (CGS)   7473611.1863329941     
 KZZ NOW (CGS)   7641665.8215998802     
 KZZ NOW (CGS)   8266679.7641565511     
 KZZ NOW (CGS)   8696922.3440747838     
 KZZ NOW (CGS)   8843335.6453262493     
 KZZ NOW (CGS)   9090298.9200321268     
 KZZ NOW (CGS)   9560485.2121307421     
 KZZ NOW (CGS)   10682671.907408079     
 KZZ NOW (CGS)   12197231.611125983     
 KZZ NOW (CGS)   13400132.824563105     
 KZZ NOW (CGS)   14408719.217095874     
 KZZ NOW (CGS)   15148498.114576329     
 KZZ NOW (CGS)   16527342.469685778     
 KZZ NOW (CGS)   18142791.776164364     
 KZZ NOW (CGS)   17693599.323781855     
 KZZ NOW (CGS)   16659654.718339806     
 KZZ NOW (CGS)   14961942.524071228     
 KZZ NOW (CGS)   13777494.374746226     
 KZZ NOW (CGS)   13703963.090537313     
 KZZ NOW (CGS)   11685664.474209724     
 
